ID	Target	Tweet	Stance	Date	Origin
891640141210677248	lyrica;nerve pain	Gabapentin	AGAINST	2017-07-30 08:42:30	#Gabapentin http://www.journal-times.com/news/drug-reclassification-welcomed-by-most/article_00da9280-6703-11e7-a291-ff3e1f528278.html … | Drug reclassification welcomed by most
890508273002074112	lyrica;nerve pain	Neurontin A Remarkable Remedy For Controlling The Seizures_	AGAINST	2017-07-27 05:44:51	Neurontin A Remarkable Remedy For Controlling The Seizures….http://bit.ly/2uA4vrN #seizures #Gabapentin #Neurontin #painkiller #nervepainpic.twitter.com/AzyZsF3Iaw
890184960082145280	lyrica;nerve pain	Use Lyrica to Thwart Your Neuropathic Pain_	FAVOR	2017-07-26 08:20:07	Use Lyrica to Thwart Your Neuropathic Pain……http://bit.ly/2eNicxP #nervepain #health #painrelief #Pregabalin #neuropathicpic.twitter.com/gyy1fvv5ao
886640338793877504	lyrica;nerve pain	Patients With Fibromyalgia  Depression May Benefit From Pregabalin	AGAINST	2017-07-16 13:35:04	#Patients With #Fibromyalgia, #Depression May Benefit From #Pregabalin http://ow.ly/5SWT30dyhFb pic.twitter.com/NxIoclzrLC
886391446231711744	lyrica;nerve pain	Gabapentin Awareness FB Community	NONE	2017-07-15 21:06:03	#Gabapentin Awareness FB Community
885814040164945920	lyrica;nerve pain	PREGABALIN   IMPURITY D	NONE	2017-07-14 06:51:39	#PREGABALIN - IMPURITY D pic.twitter.com/K3bZgdt31A
884053019519848451	lyrica;nerve pain	New On The Streets  Drug For Nerve Pain Boosts High For Opioid Abusers	AGAINST	2017-07-09 10:13:59	New On The Streets: Drug For Nerve Pain Boosts High For Opioid Abusers http://khn.org/NzQ1MDQ0  via @khnews #neurontin @1newstracker
883799903062949892	lyrica;nerve pain	Gabapentin Boosts High For Opioid Abusers	NONE	2017-07-08 17:28:11	Gabapentin Boosts High For Opioid Abusers https://www.painnewsnetwork.org/stories/2017/7/6/gabapentin-boosts-high-for-opioid-abusers … #Gabapentin #Boosts #High #Opioids #Abusers #ChronicPain #addiction
882999662478753793	lyrica;nerve pain	  on gabapentin  	NONE	2017-07-06 12:28:19	. @statnews on #gabapentin-> http://bit.ly/2tVLelm . And here's our review on gabapentin for nerve #pain -> http://bit.ly/2tumNsf pic.twitter.com/HTYmoSShrG
882192341200752640	lyrica;nerve pain	Treatment of Gabapentin Toxicity With Peritoneal Dialysis  Assessment of Gabapentin Clearance	AGAINST	2017-07-04 07:00:19	Treatment of #Gabapentin Toxicity With Peritoneal Dialysis: Assessment of Gabapentin Clearance http://buff.ly/2tibzqL @SluNephronspic.twitter.com/0xkE53jW6j
